entry_idx,exit_idx,entry_time,exit_time,entry,exit,sl,tp,r_result,exit_reason,schema_version,ticker,interval,strategy,market_mode,data_start,data_end
226.0,226.0,2025-05-21 20:30:00,2025-05-21 20:30:00,8.5192575,8.487853950000002,8.4921,8.72,-1.4700472245235845,SL,2,IREN,15min,SMC (BOS/OB/FVG),us_equity,,
253.0,278.0,2025-05-22 20:45:00,2025-05-23 20:30:00,9.274634999999998,8.821587000000001,8.826,10.1579,-1.0305095121869663,SL,2,IREN,15min,SMC (BOS/OB/FVG),us_equity,,
300.0,304.0,2025-05-24 02:00:00,2025-05-27 20:30:00,9.114555,9.02838355,9.0329,9.67,-1.166934113036542,SL,2,IREN,15min,SMC (BOS/OB/FVG),us_equity,,
325.0,325.0,2025-05-28 01:45:00,2025-05-28 01:45:00,9.156576,9.10574485,9.1103,9.67,-1.296303180914517,SL,2,IREN,15min,SMC (BOS/OB/FVG),us_equity,,
330.0,330.0,2025-05-28 20:30:00,2025-05-28 20:30:00,9.2046,9.17111215,9.1757,9.67,-1.4772474048443196,SL,2,IREN,15min,SMC (BOS/OB/FVG),us_equity,,
333.0,334.0,2025-05-28 21:15:00,2025-05-28 21:30:00,8.90134845,8.820687450000001,8.8251,9.67,-1.17461205375322,SL,2,IREN,15min,SMC (BOS/OB/FVG),us_equity,,
344.0,344.0,2025-05-29 00:00:00,2025-05-29 00:00:00,8.90134845,8.81888835,8.8233,9.67,-1.1705735149128476,SL,2,IREN,15min,SMC (BOS/OB/FVG),us_equity,,
356.0,356.0,2025-05-29 20:30:00,2025-05-29 20:30:00,8.90134845,8.82468545,8.8291,9.0188,-1.1843070467255683,SL_INTRABAR,2,IREN,15min,SMC (BOS/OB/FVG),us_equity,,
424.0,426.0,2025-06-03 00:30:00,2025-06-03 01:00:00,8.684339999999999,8.642776450000001,8.6471,8.775,-1.349298872180428,SL,2,IREN,15min,SMC (BOS/OB/FVG),us_equity,,
434.0,434.0,2025-06-03 20:30:00,2025-06-03 20:30:00,8.6957457,8.6688634,8.6732,8.775,-1.5780412983407086,SL_INTRABAR,2,IREN,15min,SMC (BOS/OB/FVG),us_equity,,
437.0,,2025-06-03 21:15:00,,8.6957457,,8.6669,8.88,,CANCELED,2,IREN,15min,SMC (BOS/OB/FVG),us_equity,,
445.0,445.0,2025-06-03 23:15:00,2025-06-03 23:15:00,8.84442,8.8011972,8.8056,8.92,-1.3412472952086445,SL,2,IREN,15min,SMC (BOS/OB/FVG),us_equity,,
449.0,449.0,2025-06-04 00:15:00,2025-06-04 00:15:00,8.84442,8.802696450000001,8.8071,8.935,-1.3549831189710473,SL,2,IREN,15min,SMC (BOS/OB/FVG),us_equity,,
495.0,498.0,2025-06-05 22:45:00,2025-06-05 23:30:00,9.394695,9.29924805,9.3039,9.7,-1.1547072526020103,SL,2,IREN,15min,SMC (BOS/OB/FVG),us_equity,,
516.0,,2025-06-06 21:30:00,,9.4697325,,9.4177,9.7,,CANCELED,2,IREN,15min,SMC (BOS/OB/FVG),us_equity,,
517.0,,2025-06-06 21:45:00,,9.6048,,9.4807,9.81,,CANCELED,2,IREN,15min,SMC (BOS/OB/FVG),us_equity,,
538.0,,2025-06-09 20:30:00,,9.78278895,,9.6826,10.32,,CANCELED,2,IREN,15min,SMC (BOS/OB/FVG),us_equity,,
